DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-06,20058,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-07,19678,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-08,18208,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-09,20536,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-10,22269,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-11,22197,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2005-12,21503,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-01,18530,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-02,18283,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-03,23217,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-04,22573,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-05,22085,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-06,22506,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2006-07,20085,
