DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2019-Q3,72910.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2019-Q4,79804.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q1,63856.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q2,47357.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q3,53941.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q4,59574.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q1,57306.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q2,68007.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q3,65094.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q4,70471.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q1,61983.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q2,60865.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q3,62395.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q4,68077.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q1,905.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q2,2088.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q3,5782.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q4,2742,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q1,294417,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q2,266424,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q3,263201,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q4,294242,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q1,295102,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q2,286444,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q3,275247,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q4,301554,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q1,284743,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q2,276575,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q3,254742,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q4,252354,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2013-Q1,253726,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2013-Q2,252353,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2013-Q3,235902,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2013-Q4,262791,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2014-Q1,254504,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2014-Q2,251022,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2014-Q3,251463,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2014-Q4,278603,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2015-Q1,276882,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2015-Q2,296985,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2015-Q3,282960,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2015-Q4,301783,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2016-Q1,280419,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2016-Q2,292841,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2016-Q3,269564,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2016-Q4,310957,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2017-Q1,300076,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2017-Q2,314000,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2017-Q3,283110,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2017-Q4,350035,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2018-Q1,341857,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2018-Q2,376749,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2018-Q3,364137,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2018-Q4,372014,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2019-Q1,351196,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2019-Q2,338894,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2019-Q3,342288,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2019-Q4,436938,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2020-Q1,348039,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2020-Q2,380627,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2020-Q3,431971,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2020-Q4,503328,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2021-Q1,486461,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2021-Q2,544316,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2021-Q3,567980,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2021-Q4,561777,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2022-Q1,494231,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2022-Q2,429620,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2022-Q3,434187,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2022-Q4,456331,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2010-Q1,4730.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2010-Q2,5297.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2010-Q3,4993.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2010-Q4,6138.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2011-Q1,5139.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2011-Q2,5528.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2011-Q3,4994.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2011-Q4,6227.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2012-Q1,4055.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BG,2012-Q2,5144.8,
