DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-05,20026.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-06,19897.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-07,20603.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-08,20287.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-09,21504.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-10,23385.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-11,22761.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-12,21930.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-01,19513.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-02,18684.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-03,23342.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-04,21519.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-05,20275.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-06,21525.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-07,22368.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-08,21574.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-01,295.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-02,246,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-03,363.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-04,392.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-05,513.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-06,1182.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-07,2083.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-08,2292.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-09,1406.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-10,1104.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-11,765.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BA,2021-12,871.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-01,117854,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-02,104350,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-03,128992,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-04,113041,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-05,116543,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-06,109310,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-07,112696,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-08,107193,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-09,122399,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-10,157562,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-11,140116,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2019-12,139260,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-01,109498,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-02,107241,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-03,131300,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-04,114631,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-05,132271,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-06,133725,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-07,141333,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-08,141405,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-09,149233,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-10,160951,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-11,168869,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2020-12,173508,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-01,155498,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-02,152417,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-03,178546,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-04,181873,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-05,186596,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-06,175847,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-07,211993,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-08,177717,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-09,178270,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-10,189566,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-11,187156,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2021-12,185055,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-01,159906,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-02,159670,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-03,174655,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-04,141422,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-05,146808,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-06,141390,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-07,145697,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-08,143881,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-09,144609,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-10,149814,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-11,154687,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2022-12,151830,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2023-01,124883,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2023-02,133059,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2023-03,148613,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2023-04,136557,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2023-05,134314,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BE,2023-06,128437,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-01,2165.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-02,2383.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-03,2437.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-04,2737.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-05,2394.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-06,2457.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-07,2394.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-08,2352.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-09,2305.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-10,2447.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-11,2378.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2019-12,2293.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-01,2405.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-02,2398.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-03,1863,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-04,1476.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-05,1507.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-06,1968.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,BG,2020-07,2118.6,
