DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-04,1977256,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-05,2317536,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-06,2654101,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-07,3042407,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-08,3039414,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-09,2895844,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-10,2621954,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-11,2031481,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2022-12,2199746,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-01,2053908,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-02,2025338,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-03,2473090,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-04,2700289,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-05,2938182,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-06,3120977,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-07,3467427,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2023-08,3432094,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-01,24797,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-02,18484,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-03,27912,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-04,23599,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-05,49829,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-06,96526,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-07,130147,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-08,196069,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-09,128948,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-10,117662,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BA,2021-11,82288,
